"Azerbaijan","Australia","Armenia","Brazil","Belarus","Chile","Taiwan ROC","Colombia","Cyprus","Ecuador","Estonia","Georgia","Germany","Ghana","Haiti","Hong Kong SAR","India","Japan","Kazakhstan","South Korea","Kyrgyzstan","Libya","Malaysia","Mexico","Netherlands","Nigeria","Pakistan","Peru","Philippines","Poland","Romania","Russia","Rwanda","Slovenia","South Africa","Zimbabwe","Spain","Sweden","Thailand","Trinidad and Tobago","Turkey","Ukraine","United States","Uruguay","Uzbekistan","Yemen","Variables"
"1.342007","2.675336","1.763889","2.644068","2.220000","2.395954","2.120192","2.463134","2.243636","2.361266","2.477143","2.004902","2.495351","1.969716","1.989851","2.161008","1.728527","1.793860","1.842000","1.961718","1.805576","1.471591","1.612529","2.539077","2.704620","1.610574","1.494033","2.476115","1.626002","2.276316","2.001493","2.120000","1.926557","2.701357","2.123319","2.243333","2.672727","2.936317","2.118490","2.483146","1.685622","2.204988","2.659664","2.357895","1.716332","1.620370","V45"
"1.149938","1.821525","1.246528","1.402542","1.445455","1.502890","1.157452","1.302995","1.609091","1.412477","1.345714","1.316176","1.926458","1.286082","1.478806","1.228916","1.370533","1.359649","1.308000","1.352941","1.584778","1.208807","1.133024","1.608000","2.113861","1.407049","1.511933","1.433121","1.271594","1.496711","1.432836","1.394783","1.680656","1.484163","1.719054","1.408667","1.830303","2.664372","1.558594","1.269663","1.589056","1.373344","1.681873","1.610526","1.707736","1.379630","V46"
"1.934325","2.615247","2.076389","2.120056","2.160909","2.028902","2.444712","1.991935","2.250909","2.025140","2.208571","2.235294","2.448014","1.773196","1.610746","2.108434","1.974295","2.118421","2.100667","2.166200","1.953278","1.839489","2.086620","1.998769","2.793729","1.755543","1.985680","2.234076","2.177204","2.450658","2.352239","2.144348","2.027541","2.486425","1.914696","1.793333","2.581818","2.574871","2.317708","1.962547","1.805794","2.289945","2.492197","2.315789","1.710602","1.870370","V47"
"1.914498","1.794619","1.704861","1.351695","1.635455","1.416185","1.288462","1.404378","1.641818","1.687151","1.417143","1.512255","1.349958","1.697809","1.570149","1.548740","1.401254","1.526316","1.550000","1.549020","1.764883","1.683239","1.320959","1.619077","1.496700","1.636725","2.051313","1.511146","1.556545","1.434211","1.358209","1.643478","1.837377","1.529412","1.625406","1.835333","1.597980","1.733219","1.705729","1.404494","1.452790","1.551052","1.769508","1.477193","1.744986","1.574074","V48"
"1.643123","2.146188","1.569444","1.653955","1.896364","1.812139","1.888221","1.644009","1.661818","1.282123","2.137143","1.566176","2.034658","1.267397","1.565373","2.231106","1.385580","2.122807","1.587333","1.919701","1.314243","1.161932","1.332560","1.547692","2.346535","1.236498","1.372315","1.560510","1.393589","1.799342","1.779104","2.071304","1.627541","2.117647","1.595271","1.296667","1.876768","2.211704","1.480469","1.520599","1.428112","1.900234","2.073229","2.010526","1.108883","1.231481","V49"
"2.372986","2.990135","2.305556","2.331921","2.835455","2.679191","2.962740","2.649770","2.836364","2.165736","3.005714","2.200980","2.958580","2.809278","2.689552","2.267251","1.872727","2.789474","2.632667","2.458450","2.656368","2.001420","2.942769","2.574154","3.080858","2.640705","2.112172","2.640127","2.489760","2.312500","2.825373","2.593043","2.642623","2.950226","2.373204","2.841333","2.751515","2.798623","2.024740","2.752809","2.243562","2.666407","2.900960","2.701754","3.037249","1.888889","V50"
"2.100372","3.039462","2.215278","2.871469","2.141818","2.812139","2.846154","2.903226","2.738182","2.913408","2.515714","2.303922","3.172443","1.832474","2.785672","2.687842","2.209404","2.609649","2.192667","2.620915","2.217784","1.737216","2.090487","2.929846","3.160066","1.861285","1.897375","3.027070","2.204809","2.641447","2.607463","2.363478","2.497705","2.977376","2.354659","2.309333","3.022222","3.328744","2.403646","2.947566","2.085837","2.413874","3.046819","3.435088","1.776504","1.694444","V51"
"2.768278","3.458296","2.840278","3.230226","3.070909","3.026012","3.064904","3.187788","3.409091","3.040037","3.265714","3.161765","3.365173","2.952964","2.260896","2.881709","2.684013","2.864035","3.003333","3.072829","2.611153","2.677557","2.581593","2.950769","3.397690","2.556566","2.306683","3.092357","2.556545","2.980263","3.188060","2.852174","2.724590","3.271493","2.643023","3.134667","3.096970","3.559380","2.872396","3.438202","2.825107","3.049883","3.339136","3.084211","2.455587","2.814815","V52"
"2.026022","3.235874","2.319444","2.925141","2.394545","3.020231","2.867788","3.018433","2.814545","3.021415","2.750000","2.416667","3.132713","2.150773","2.190448","2.751369","2.223197","2.635965","2.414000","2.708683","2.366240","1.866477","2.339520","2.985846","3.240924","2.041501","1.878282","3.078025","2.461264","2.851974","2.832836","2.499130","2.524590","3.045249","2.458971","2.550667","3.056566","3.394148","2.734375","2.966292","2.241416","2.547155","3.207683","3.070175","2.022923","2.148148","V53"
"2.027261","2.191928","2.236111","2.614407","1.718182","2.554913","2.100962","2.415899","2.389091","2.270019","1.714286","2.387255","2.480135","2.709407","3.004776","2.062432","2.121003","1.969298","1.766667","2.577031","1.933685","2.088068","2.477958","2.304000","2.521452","2.427516","2.564439","2.267516","1.865539","2.569079","2.849254","1.895652","2.530492","2.647059","2.368567","2.566667","2.517172","2.641997","2.648438","2.138577","2.063305","1.602494","2.030012","2.371930","1.326648","1.907407","V54"
